GPA,Gender,breakfast,calories_chicken,calories_day,calories_scone,comfort_food_reasons_coded,cook,cuisine,diet_current_coded,eating_changes_coded,eating_changes_coded1,eating_out,employment,ethnic_food,exercise,father_education,fav_cuisine_coded,fav_food,fruit_day,grade_level,greek_food,healthy_feeling,ideal_diet_coded,income,indian_food,italian_food,life_rewarding,marital_status,mother_education,nutritional_check,on_off_campus,parents_cook,pay_meal_out,persian_food,self_perception_weight,sports,thai_food,tortilla_calories,turkey_calories,type_sports,veggies_day,vitamins,waffle_calories,weight
3.73,1,1,610,3,980,2,3,1,1,1,8,1,2,5,2,4,1,1,5,3,5,3,1,3,5,5,2,2,2,2,1,1,3,5,3,1,5,1165,500,Rec Volleyball,5,1,1315,140
4,1,1,720,3,420,2,2,1,1,1,11,1,2,5,1,2,1,1,5,3,3,5,3,5,4,5,2,2,4,4,1,1,6,3,4,1,4,1165,690,Softball,5,1,1315,140
3.1,2,2,610,3,980,2,3,1,2,1,3,1,2,4,2,4,0,2,5,1,2,3,7,5,3,5,2,1,4,2,1,1,2,2,3,2,3,1165,345,nan,5,1,1315,140
3.79,2,1,720,4,420,2,1,1,2,2,12,4,3,3,1,4,2,1,3,2,3,1,3,6,1,5,2,2,2,5,3,1,3,1,3,1,2,1165,850,baseball,4,1,1315,200
2.71,2,2,265,2,420,9,2,4,4,3,4,1,3,3,2,1,0,2,4,3,3,8,8,3,3,3,10,4,1,2,2,3,5,3,3,2,3,580,345,nan,4,2,760,154
3,1,1,610,3,420,3,3,1,1,1,3,2,2,5,1,4,1,1,5,1,3,6,2,5,4,5,9,2,4,4,1,2,4,3,3,2,4,940,500,I danced in high school,4,1,900,120
3.7,1,2,610,3,420,2,2,1,2,1,3,2,2,2,2,2,5,3,4,4,2,4,3,3,1,5,4,1,5,3,2,1,3,1,4,1,1,1165,690,horse back riding,2,2,1315,150
3.1,2,2,265,2,420,2,2,1,2,2,13,2,2,1,2,2,5,2,3,4,1,4,7,3,1,4,5,2,5,1,1,1,3,1,3,1,2,725,345,Basketball ,2,2,900,200
3,1,1,720,3,420,1,2,1,3,1,2,2,2,3,1,2,4,1,5,2,4,8,3,5,3,4,8,2,2,4,1,1,3,2,3,1,3,580,345,competitive skiing,4,1,1315,135
3.9,2,1,720,3,420,2,5,1,2,1,7,1,3,5,1,3,4,1,5,1,5,1,8,6,4,5,3,1,2,4,1,1,3,4,2,1,5,1165,850,"Rowing, Running, and Cycling",4,2,1315,145
3.4,1,1,430,2,420,7,3,1,2,1,3,3,2,4,2,2,1,3,3,1,3,4,2,4,3,5,1,1,4,2,1,1,3,3,3,2,4,1165,500,nan,2,1,900,130
